term_agg,type,count
sql,language,171
python,language,148
scala,language,127
spark,tech,110
hadoop,tech,89
aws,vendor,88
java,language,85
kafka,tech,69
api,tech,68
git,devops,59
nosql,db,57
postgresql,db,56
azure,vendor,49
ssis,product,46
gcp,vendor,43
hive,tech,42
tableau,visualisation,35
airflow,tech,35
docker,devops,32
mysql,db,28
linux,language,26
kubernetes,devops,24
power bi,visualisation,24
bigquery,product,23
flink,tech,22
terraform,devops,20
c++,language,19
hbase,tech,19
redshift,product,18
mongodb,db,18
informatica,vendor,17
rdbms,db,16
cassandra,tech,15
sas,language,15
pyspark,tech,15
snowflake,product,15
qlik,visualisation,14
presto,tech,13
elasticsearch,tech,12
emr,product,11
databricks,product,11
teradata,vendor,10
jira,vendor,10
cloudera,vendor,10
beam,tech,9
data studio,product,9
dataflow,product,9
unix,language,8
talend,vendor,7
mariadb,db,7
parquet,filetype,7
mssql,db,7
dynamodb,db,7
hortonworks,vendor,6
redis,tech,6
dataproc,product,5
tensorflow,tech,5
neo4j,tech,5
json,filetype,5
pig,tech,5
dbt,tech,3
avro,filetype,2
sqoop,tech,1
fivetran,vendor,1
protobuf,filetype,1
matlab,language,1
rabbitmq,tech,1
quicksight,product,1
php,language,1
vba,language,1
sqlite,db,0
great_expectations,tech,0
t-sql,language,0
alteryx,vendor,0
athena,product,0
